"","Survived","Pclass","Sex","Edad","Familia"
"1","Fallece","3","male","joven","Medium"
"2","Sobrevive","1","female","adulto","Medium"
"3","Sobrevive","3","female","joven","Small"
"4","Sobrevive","1","female","adulto","Medium"
"5","Fallece","3","male","adulto","Small"
"6","Fallece","3","male","adulto","Small"
"7","Fallece","1","male","adulto","Small"
"8","Fallece","3","male","bebe","Big"
"9","Sobrevive","3","female","joven","Medium"
"10","Sobrevive","2","female","adolescente","Medium"
"11","Sobrevive","3","female","niño","Medium"
"12","Sobrevive","1","female","3edad","Small"
"13","Fallece","3","male","joven","Small"
"14","Fallece","3","male","adulto","Big"
"15","Fallece","3","female","adolescente","Small"
"16","Sobrevive","2","female","adulto","Small"
"17","Fallece","3","male","bebe","Big"
"18","Sobrevive","2","male","adulto","Small"
"19","Fallece","3","female","adulto","Medium"
"20","Sobrevive","3","female","joven","Small"
"21","Fallece","2","male","adulto","Small"
"22","Sobrevive","2","male","adulto","Small"
"23","Sobrevive","3","female","adolescente","Small"
"24","Sobrevive","1","male","joven","Small"
"25","Fallece","3","female","niño","Big"
"26","Sobrevive","3","female","adulto","Big"
"27","Fallece","3","male","adulto","Small"
"28","Fallece","1","male","joven","Big"
"29","Sobrevive","3","female","joven","Small"
"30","Fallece","3","male","adulto","Small"
"31","Fallece","1","male","adulto","Small"
"32","Sobrevive","1","female","joven","Medium"
"33","Sobrevive","3","female","joven","Small"
"34","Fallece","2","male","3edad","Small"
"35","Fallece","1","male","joven","Medium"
"36","Fallece","1","male","adulto","Medium"
"37","Sobrevive","3","male","adulto","Small"
"38","Fallece","3","male","joven","Small"
"39","Fallece","3","female","joven","Medium"
"40","Sobrevive","3","female","adolescente","Medium"
"41","Fallece","3","female","adulto","Medium"
"42","Fallece","2","female","joven","Medium"
"43","Fallece","3","male","adulto","Small"
"44","Sobrevive","2","female","niño","Medium"
"45","Sobrevive","3","female","joven","Small"
"46","Fallece","3","male","adulto","Small"
"47","Fallece","3","male","adulto","Medium"
"48","Sobrevive","3","female","joven","Small"
"49","Fallece","3","male","adulto","Medium"
"50","Fallece","3","female","joven","Medium"
"51","Fallece","3","male","niño","Big"
"52","Fallece","3","male","joven","Small"
"53","Sobrevive","1","female","adulto","Medium"
"54","Sobrevive","2","female","joven","Medium"
"55","Fallece","1","male","3edad","Medium"
"56","Sobrevive","1","male","adulto","Small"
"57","Sobrevive","2","female","joven","Small"
"58","Fallece","3","male","joven","Small"
"59","Sobrevive","2","female","niño","Medium"
"60","Fallece","3","male","niño","Big"
"61","Fallece","3","male","joven","Small"
"62","Sobrevive","1","female","adulto","Small"
"63","Fallece","1","male","adulto","Medium"
"64","Fallece","3","male","niño","Big"
"65","Fallece","1","male","adulto","Small"
"66","Sobrevive","3","male","adulto","Medium"
"67","Sobrevive","2","female","joven","Small"
"68","Fallece","3","male","joven","Small"
"69","Sobrevive","3","female","adolescente","Big"
"70","Fallece","3","male","joven","Medium"
"71","Fallece","2","male","adulto","Small"
"72","Fallece","3","female","adolescente","Big"
"73","Fallece","2","male","joven","Small"
"74","Fallece","3","male","joven","Medium"
"75","Sobrevive","3","male","adulto","Small"
"76","Fallece","3","male","joven","Small"
"77","Fallece","3","male","adulto","Small"
"78","Fallece","3","male","adulto","Small"
"79","Sobrevive","2","male","bebe","Medium"
"80","Sobrevive","3","female","adulto","Small"
"81","Fallece","3","male","joven","Small"
"82","Sobrevive","3","male","joven","Small"
"83","Sobrevive","3","female","joven","Small"
"84","Fallece","1","male","joven","Small"
"85","Sobrevive","2","female","adolescente","Small"
"86","Sobrevive","3","female","adulto","Medium"
"87","Fallece","3","male","adolescente","Big"
"88","Fallece","3","male","adulto","Small"
"89","Sobrevive","1","female","joven","Big"
"90","Fallece","3","male","joven","Small"
"91","Fallece","3","male","joven","Small"
"92","Fallece","3","male","joven","Small"
"93","Fallece","1","male","adulto","Medium"
"94","Fallece","3","male","joven","Medium"
"95","Fallece","3","male","3edad","Small"
"96","Fallece","3","male","adulto","Small"
"97","Fallece","1","male","3edad","Small"
"98","Sobrevive","1","male","joven","Medium"
"99","Sobrevive","2","female","adulto","Medium"
"100","Fallece","2","male","adulto","Medium"
"101","Fallece","3","female","joven","Small"
"102","Fallece","3","male","adulto","Small"
"103","Fallece","1","male","joven","Medium"
"104","Fallece","3","male","adulto","Small"
"105","Fallece","3","male","adulto","Medium"
"106","Fallece","3","male","joven","Small"
"107","Sobrevive","3","female","joven","Small"
"108","Sobrevive","3","male","adulto","Small"
"109","Fallece","3","male","adulto","Small"
"110","Sobrevive","3","female","joven","Medium"
"111","Fallece","1","male","adulto","Small"
"112","Fallece","3","female","adolescente","Medium"
"113","Fallece","3","male","joven","Small"
"114","Fallece","3","female","joven","Medium"
"115","Fallece","3","female","adolescente","Small"
"116","Fallece","3","male","joven","Small"
"117","Fallece","3","male","3edad","Small"
"118","Fallece","2","male","joven","Medium"
"119","Fallece","1","male","joven","Medium"
"120","Fallece","3","female","bebe","Big"
"121","Fallece","2","male","joven","Medium"
"122","Fallece","3","male","adulto","Small"
"123","Fallece","2","male","adulto","Medium"
"124","Sobrevive","2","female","adulto","Small"
"125","Fallece","1","male","adulto","Medium"
"126","Sobrevive","3","male","niño","Medium"
"127","Fallece","3","male","adulto","Small"
"128","Sobrevive","3","male","joven","Small"
"129","Sobrevive","3","female","joven","Medium"
"130","Fallece","3","male","adulto","Small"
"131","Fallece","3","male","adulto","Small"
"132","Fallece","3","male","joven","Small"
"133","Fallece","3","female","adulto","Medium"
"134","Sobrevive","2","female","joven","Medium"
"135","Fallece","2","male","joven","Small"
"136","Fallece","2","male","joven","Small"
"137","Sobrevive","1","female","joven","Medium"
"138","Fallece","1","male","adulto","Medium"
"139","Fallece","3","male","adolescente","Small"
"140","Fallece","1","male","joven","Small"
"141","Fallece","3","female","joven","Medium"
"142","Sobrevive","3","female","joven","Small"
"143","Sobrevive","3","female","joven","Medium"
"144","Fallece","3","male","joven","Small"
"145","Fallece","2","male","joven","Small"
"146","Fallece","2","male","joven","Medium"
"147","Sobrevive","3","male","joven","Small"
"148","Fallece","3","female","niño","Big"
"149","Fallece","2","male","adulto","Medium"
"150","Fallece","2","male","adulto","Small"
"151","Fallece","2","male","adulto","Small"
"152","Sobrevive","1","female","joven","Medium"
"153","Fallece","3","male","adulto","Small"
"154","Fallece","3","male","adulto","Medium"
"155","Fallece","3","male","adulto","Small"
"156","Fallece","1","male","adulto","Medium"
"157","Sobrevive","3","female","adolescente","Small"
"158","Fallece","3","male","adulto","Small"
"159","Fallece","3","male","adulto","Small"
"160","Fallece","3","male","adulto","Big"
"161","Fallece","3","male","adulto","Medium"
"162","Sobrevive","2","female","adulto","Small"
"163","Fallece","3","male","joven","Small"
"164","Fallece","3","male","adolescente","Small"
"165","Fallece","3","male","bebe","Big"
"166","Sobrevive","3","male","niño","Medium"
"167","Sobrevive","1","female","joven","Medium"
"168","Fallece","3","female","adulto","Big"
"169","Fallece","1","male","adulto","Small"
"170","Fallece","3","male","joven","Small"
"171","Fallece","1","male","3edad","Small"
"172","Fallece","3","male","niño","Big"
"173","Sobrevive","3","female","bebe","Medium"
"174","Fallece","3","male","joven","Small"
"175","Fallece","1","male","3edad","Small"
"176","Fallece","3","male","joven","Medium"
"177","Fallece","3","male","adulto","Big"
"178","Fallece","1","female","adulto","Small"
"179","Fallece","2","male","adulto","Small"
"180","Fallece","3","male","adulto","Small"
"181","Fallece","3","female","joven","Big"
"182","Fallece","2","male","adulto","Small"
"183","Fallece","3","male","niño","Big"
"184","Sobrevive","2","male","bebe","Medium"
"185","Sobrevive","3","female","niño","Medium"
"186","Fallece","1","male","adulto","Small"
"187","Sobrevive","3","female","joven","Medium"
"188","Sobrevive","1","male","adulto","Small"
"189","Fallece","3","male","adulto","Medium"
"190","Fallece","3","male","adulto","Small"
"191","Sobrevive","2","female","adulto","Small"
"192","Fallece","2","male","joven","Small"
"193","Sobrevive","3","female","joven","Medium"
"194","Sobrevive","2","male","niño","Medium"
"195","Sobrevive","1","female","adulto","Small"
"196","Sobrevive","1","female","3edad","Small"
"197","Fallece","3","male","adulto","Small"
"198","Fallece","3","male","adulto","Medium"
"199","Sobrevive","3","female","joven","Small"
"200","Fallece","2","female","joven","Small"
"201","Fallece","3","male","joven","Small"
"202","Fallece","3","male","adulto","Big"
"203","Fallece","3","male","adulto","Small"
"204","Fallece","3","male","adulto","Small"
"205","Sobrevive","3","male","joven","Small"
"206","Fallece","3","female","bebe","Medium"
"207","Fallece","3","male","adulto","Medium"
"208","Sobrevive","3","male","joven","Small"
"209","Sobrevive","3","female","adolescente","Small"
"210","Sobrevive","1","male","adulto","Small"
"211","Fallece","3","male","joven","Small"
"212","Sobrevive","2","female","adulto","Small"
"213","Fallece","3","male","joven","Small"
"214","Fallece","2","male","adulto","Small"
"215","Fallece","3","male","adulto","Medium"
"216","Sobrevive","1","female","adulto","Medium"
"217","Sobrevive","3","female","joven","Small"
"218","Fallece","2","male","adulto","Medium"
"219","Sobrevive","1","female","adulto","Small"
"220","Fallece","2","male","adulto","Small"
"221","Sobrevive","3","male","adolescente","Small"
"222","Fallece","2","male","joven","Small"
"223","Fallece","3","male","adulto","Small"
"224","Fallece","3","male","adulto","Small"
"225","Sobrevive","1","male","adulto","Medium"
"226","Fallece","3","male","joven","Small"
"227","Sobrevive","2","male","joven","Small"
"228","Fallece","3","male","joven","Small"
"229","Fallece","2","male","joven","Small"
"230","Fallece","3","female","joven","Big"
"231","Sobrevive","1","female","adulto","Medium"
"232","Fallece","3","male","joven","Small"
"233","Fallece","2","male","3edad","Small"
"234","Sobrevive","3","female","niño","Big"
"235","Fallece","2","male","joven","Small"
"236","Fallece","3","female","joven","Small"
"237","Fallece","2","male","adulto","Medium"
"238","Sobrevive","2","female","niño","Medium"
"239","Fallece","2","male","joven","Small"
"240","Fallece","2","male","adulto","Small"
"241","Fallece","3","female","joven","Medium"
"242","Sobrevive","3","female","joven","Medium"
"243","Fallece","2","male","joven","Small"
"244","Fallece","3","male","joven","Small"
"245","Fallece","3","male","adulto","Small"
"246","Fallece","1","male","adulto","Medium"
"247","Fallece","3","female","joven","Small"
"248","Sobrevive","2","female","joven","Medium"
"249","Sobrevive","1","male","adulto","Medium"
"250","Fallece","2","male","adulto","Medium"
"251","Fallece","3","male","adulto","Small"
"252","Fallece","3","female","joven","Medium"
"253","Fallece","1","male","3edad","Small"
"254","Fallece","3","male","adulto","Medium"
"255","Fallece","3","female","adulto","Medium"
"256","Sobrevive","3","female","joven","Medium"
"257","Sobrevive","1","female","joven","Small"
"258","Sobrevive","1","female","adulto","Small"
"259","Sobrevive","1","female","adulto","Small"
"260","Sobrevive","2","female","adulto","Medium"
"261","Fallece","3","male","adulto","Small"
"262","Sobrevive","3","male","niño","Big"
"263","Fallece","1","male","adulto","Medium"
"264","Fallece","1","male","adulto","Small"
"265","Fallece","3","female","joven","Small"
"266","Fallece","2","male","adulto","Small"
"267","Fallece","3","male","adolescente","Big"
"268","Sobrevive","3","male","joven","Medium"
"269","Sobrevive","1","female","3edad","Medium"
"270","Sobrevive","1","female","adulto","Small"
"271","Fallece","1","male","adulto","Small"
"272","Sobrevive","3","male","joven","Small"
"273","Sobrevive","2","female","adulto","Medium"
"274","Fallece","1","male","adulto","Medium"
"275","Sobrevive","3","female","joven","Small"
"276","Sobrevive","1","female","3edad","Medium"
"277","Fallece","3","female","adulto","Small"
"278","Fallece","2","male","adulto","Small"
"279","Fallece","3","male","niño","Big"
"280","Sobrevive","3","female","adulto","Medium"
"281","Fallece","3","male","3edad","Small"
"282","Fallece","3","male","joven","Small"
"283","Fallece","3","male","adolescente","Small"
"284","Sobrevive","3","male","joven","Small"
"285","Fallece","1","male","adulto","Small"
"286","Fallece","3","male","adulto","Small"
"287","Sobrevive","3","male","adulto","Small"
"288","Fallece","3","male","joven","Small"
"289","Sobrevive","2","male","adulto","Small"
"290","Sobrevive","3","female","joven","Small"
"291","Sobrevive","1","female","joven","Small"
"292","Sobrevive","1","female","joven","Medium"
"293","Fallece","2","male","adulto","Small"
"294","Fallece","3","female","joven","Small"
"295","Fallece","3","male","joven","Small"
"296","Fallece","1","male","adulto","Small"
"297","Fallece","3","male","joven","Small"
"298","Fallece","1","female","bebe","Medium"
"299","Sobrevive","1","male","adulto","Small"
"300","Sobrevive","1","female","adulto","Medium"
"301","Sobrevive","3","female","joven","Small"
"302","Sobrevive","3","male","adulto","Medium"
"303","Fallece","3","male","joven","Small"
"304","Sobrevive","2","female","joven","Small"
"305","Fallece","3","male","adulto","Small"
"306","Sobrevive","1","male","bebe","Medium"
"307","Sobrevive","1","female","joven","Small"
"308","Sobrevive","1","female","adolescente","Medium"
"309","Fallece","2","male","adulto","Medium"
"310","Sobrevive","1","female","adulto","Small"
"311","Sobrevive","1","female","joven","Small"
"312","Sobrevive","1","female","joven","Big"
"313","Fallece","2","female","joven","Medium"
"314","Fallece","3","male","joven","Small"
"315","Fallece","2","male","adulto","Medium"
"316","Sobrevive","3","female","joven","Small"
"317","Sobrevive","2","female","joven","Medium"
"318","Fallece","2","male","adulto","Small"
"319","Sobrevive","1","female","adulto","Medium"
"320","Sobrevive","1","female","adulto","Medium"
"321","Fallece","3","male","joven","Small"
"322","Fallece","3","male","joven","Small"
"323","Sobrevive","2","female","adulto","Small"
"324","Sobrevive","2","female","joven","Medium"
"325","Fallece","3","male","adulto","Big"
"326","Sobrevive","1","female","adulto","Small"
"327","Fallece","3","male","3edad","Small"
"328","Sobrevive","2","female","adulto","Small"
"329","Sobrevive","3","female","adulto","Medium"
"330","Sobrevive","1","female","adolescente","Medium"
"331","Sobrevive","3","female","joven","Medium"
"332","Fallece","1","male","adulto","Small"
"333","Fallece","1","male","adulto","Medium"
"334","Fallece","3","male","adolescente","Medium"
"335","Sobrevive","1","female","joven","Medium"
"336","Fallece","3","male","adulto","Small"
"337","Fallece","1","male","joven","Medium"
"338","Sobrevive","1","female","adulto","Small"
"339","Sobrevive","3","male","adulto","Small"
"340","Fallece","1","male","adulto","Small"
"341","Sobrevive","2","male","bebe","Medium"
"342","Sobrevive","1","female","joven","Big"
"343","Fallece","2","male","joven","Small"
"344","Fallece","2","male","joven","Small"
"345","Fallece","2","male","adulto","Small"
"346","Sobrevive","2","female","joven","Small"
"347","Sobrevive","2","female","adulto","Small"
"348","Sobrevive","3","female","joven","Medium"
"349","Sobrevive","3","male","niño","Medium"
"350","Fallece","3","male","adulto","Small"
"351","Fallece","3","male","joven","Small"
"352","Fallece","1","male","adulto","Small"
"353","Fallece","3","male","adolescente","Medium"
"354","Fallece","3","male","joven","Medium"
"355","Fallece","3","male","adulto","Small"
"356","Fallece","3","male","joven","Small"
"357","Sobrevive","1","female","joven","Medium"
"358","Fallece","2","female","adulto","Small"
"359","Sobrevive","3","female","joven","Small"
"360","Sobrevive","3","female","joven","Small"
"361","Fallece","3","male","adulto","Big"
"362","Fallece","2","male","joven","Medium"
"363","Fallece","3","female","adulto","Medium"
"364","Fallece","3","male","adulto","Small"
"365","Fallece","3","male","adulto","Medium"
"366","Fallece","3","male","adulto","Small"
"367","Sobrevive","1","female","3edad","Medium"
"368","Sobrevive","3","female","joven","Small"
"369","Sobrevive","3","female","joven","Small"
"370","Sobrevive","1","female","joven","Small"
"371","Sobrevive","1","male","joven","Medium"
"372","Fallece","3","male","joven","Medium"
"373","Fallece","3","male","joven","Small"
"374","Fallece","1","male","joven","Small"
"375","Fallece","3","female","niño","Big"
"376","Sobrevive","1","female","joven","Medium"
"377","Sobrevive","3","female","joven","Small"
"378","Fallece","1","male","joven","Medium"
"379","Fallece","3","male","joven","Small"
"380","Fallece","3","male","joven","Small"
"381","Sobrevive","1","female","adulto","Small"
"382","Sobrevive","3","female","bebe","Medium"
"383","Fallece","3","male","adulto","Small"
"384","Sobrevive","1","female","adulto","Medium"
"385","Fallece","3","male","adulto","Small"
"386","Fallece","2","male","joven","Small"
"387","Fallece","3","male","bebe","Big"
"388","Sobrevive","2","female","adulto","Small"
"389","Fallece","3","male","adulto","Small"
"390","Sobrevive","2","female","adolescente","Small"
"391","Sobrevive","1","male","adulto","Medium"
"392","Sobrevive","3","male","joven","Small"
"393","Fallece","3","male","joven","Medium"
"394","Sobrevive","1","female","joven","Medium"
"395","Sobrevive","3","female","joven","Medium"
"396","Fallece","3","male","joven","Small"
"397","Fallece","3","female","adulto","Small"
"398","Fallece","2","male","adulto","Small"
"399","Fallece","2","male","joven","Small"
"400","Sobrevive","2","female","joven","Small"
"401","Sobrevive","3","male","adulto","Small"
"402","Fallece","3","male","joven","Small"
"403","Fallece","3","female","joven","Medium"
"404","Fallece","3","male","joven","Medium"
"405","Fallece","3","female","joven","Small"
"406","Fallece","2","male","adulto","Medium"
"407","Fallece","3","male","adulto","Small"
"408","Sobrevive","2","male","niño","Medium"
"409","Fallece","3","male","joven","Small"
"410","Fallece","3","female","joven","Big"
"411","Fallece","3","male","adulto","Small"
"412","Fallece","3","male","adulto","Small"
"413","Sobrevive","1","female","adulto","Medium"
"414","Fallece","2","male","adulto","Small"
"415","Sobrevive","3","male","adulto","Small"
"416","Fallece","3","female","joven","Small"
"417","Sobrevive","2","female","adulto","Medium"
"418","Sobrevive","2","female","joven","Medium"
"419","Fallece","2","male","adulto","Small"
"420","Fallece","3","female","niño","Medium"
"421","Fallece","3","male","adulto","Small"
"422","Fallece","3","male","joven","Small"
"423","Fallece","3","male","joven","Small"
"424","Fallece","3","female","joven","Medium"
"425","Fallece","3","male","joven","Medium"
"426","Fallece","3","male","adulto","Small"
"427","Sobrevive","2","female","joven","Medium"
"428","Sobrevive","2","female","joven","Small"
"429","Fallece","3","male","adulto","Small"
"430","Sobrevive","3","male","adulto","Small"
"431","Sobrevive","1","male","joven","Small"
"432","Sobrevive","3","female","joven","Medium"
"433","Sobrevive","2","female","adulto","Medium"
"434","Fallece","3","male","adolescente","Small"
"435","Fallece","1","male","adulto","Medium"
"436","Sobrevive","1","female","adolescente","Medium"
"437","Fallece","3","female","joven","Big"
"438","Sobrevive","2","female","joven","Big"
"439","Fallece","1","male","3edad","Big"
