"","Survived","Pclass","Sex","Edad","Familia"
"440","Fallece","2","male","adulto","Small"
"441","Sobrevive","2","female","adulto","Medium"
"442","Fallece","3","male","joven","Small"
"443","Fallece","3","male","joven","Medium"
"444","Sobrevive","2","female","joven","Small"
"445","Sobrevive","3","male","adulto","Small"
"446","Sobrevive","1","male","niño","Medium"
"447","Sobrevive","2","female","adolescente","Medium"
"448","Sobrevive","1","male","adulto","Small"
"449","Sobrevive","3","female","niño","Medium"
"450","Sobrevive","1","male","adulto","Small"
"451","Fallece","2","male","adulto","Medium"
"452","Fallece","3","male","adulto","Medium"
"453","Fallece","1","male","adulto","Small"
"454","Sobrevive","1","male","adulto","Medium"
"455","Fallece","3","male","adulto","Small"
"456","Sobrevive","3","male","joven","Small"
"457","Fallece","1","male","3edad","Small"
"458","Sobrevive","1","female","joven","Medium"
"459","Sobrevive","2","female","adulto","Small"
"460","Fallece","3","male","adulto","Small"
"461","Sobrevive","1","male","adulto","Small"
"462","Fallece","3","male","adulto","Small"
"463","Fallece","1","male","adulto","Small"
"464","Fallece","2","male","adulto","Small"
"465","Fallece","3","male","adulto","Small"
"466","Fallece","3","male","adulto","Small"
"467","Fallece","2","male","adulto","Small"
"468","Fallece","1","male","3edad","Small"
"469","Fallece","3","male","adulto","Small"
"470","Sobrevive","3","female","bebe","Medium"
"471","Fallece","3","male","adulto","Small"
"472","Fallece","3","male","adulto","Small"
"473","Sobrevive","2","female","adulto","Medium"
"474","Sobrevive","2","female","joven","Small"
"475","Fallece","3","female","joven","Small"
"476","Fallece","1","male","adulto","Small"
"477","Fallece","2","male","adulto","Medium"
"478","Fallece","3","male","joven","Medium"
"479","Fallece","3","male","joven","Small"
"480","Sobrevive","3","female","bebe","Medium"
"481","Fallece","3","male","niño","Big"
"482","Fallece","2","male","adulto","Small"
"483","Fallece","3","male","adulto","Small"
"484","Sobrevive","3","female","3edad","Small"
"485","Sobrevive","1","male","joven","Medium"
"486","Fallece","3","female","joven","Big"
"487","Sobrevive","1","female","adulto","Medium"
"488","Fallece","1","male","3edad","Small"
"489","Fallece","3","male","adulto","Small"
"490","Sobrevive","3","male","niño","Medium"
"491","Fallece","3","male","adulto","Medium"
"492","Fallece","3","male","joven","Small"
"493","Fallece","1","male","adulto","Small"
"494","Fallece","1","male","3edad","Small"
"495","Fallece","3","male","joven","Small"
"496","Fallece","3","male","adulto","Small"
"497","Sobrevive","1","female","adulto","Medium"
"498","Fallece","3","male","adulto","Small"
"499","Fallece","1","female","joven","Medium"
"500","Fallece","3","male","joven","Small"
"501","Fallece","3","male","adolescente","Small"
"502","Fallece","3","female","joven","Small"
"503","Fallece","3","female","joven","Small"
"504","Fallece","3","female","adulto","Small"
"505","Sobrevive","1","female","adolescente","Small"
"506","Fallece","1","male","joven","Medium"
"507","Sobrevive","2","female","adulto","Medium"
"508","Sobrevive","1","male","adulto","Small"
"509","Fallece","3","male","joven","Small"
"510","Sobrevive","3","male","joven","Small"
"511","Sobrevive","3","male","joven","Small"
"512","Fallece","3","male","adulto","Small"
"513","Sobrevive","1","male","adulto","Small"
"514","Sobrevive","1","female","adulto","Medium"
"515","Fallece","3","male","joven","Small"
"516","Fallece","1","male","adulto","Small"
"517","Sobrevive","2","female","adulto","Small"
"518","Fallece","3","male","adulto","Small"
"519","Sobrevive","2","female","adulto","Medium"
"520","Fallece","3","male","adulto","Small"
"521","Sobrevive","1","female","adulto","Small"
"522","Fallece","3","male","joven","Small"
"523","Fallece","3","male","adulto","Small"
"524","Sobrevive","1","female","adulto","Medium"
"525","Fallece","3","male","adulto","Small"
"526","Fallece","3","male","adulto","Small"
"527","Sobrevive","2","female","adulto","Small"
"528","Fallece","1","male","adulto","Small"
"529","Fallece","3","male","adulto","Small"
"530","Fallece","2","male","joven","Medium"
"531","Sobrevive","2","female","bebe","Medium"
"532","Fallece","3","male","adulto","Small"
"533","Fallece","3","male","adolescente","Medium"
"534","Sobrevive","3","female","joven","Medium"
"535","Fallece","3","female","adulto","Small"
"536","Sobrevive","2","female","niño","Medium"
"537","Fallece","1","male","adulto","Small"
"538","Sobrevive","1","female","adulto","Small"
"539","Fallece","3","male","adulto","Small"
"540","Sobrevive","1","female","joven","Medium"
"541","Sobrevive","1","female","adulto","Medium"
"542","Fallece","3","female","niño","Big"
"543","Fallece","3","female","niño","Big"
"544","Sobrevive","2","male","adulto","Medium"
"545","Fallece","1","male","adulto","Medium"
"546","Fallece","1","male","3edad","Small"
"547","Sobrevive","2","female","joven","Medium"
"548","Sobrevive","2","male","adulto","Small"
"549","Fallece","3","male","adulto","Medium"
"550","Sobrevive","2","male","niño","Medium"
"551","Sobrevive","1","male","adolescente","Medium"
"552","Fallece","2","male","joven","Small"
"553","Fallece","3","male","adulto","Small"
"554","Sobrevive","3","male","joven","Small"
"555","Sobrevive","3","female","joven","Small"
"556","Fallece","1","male","3edad","Small"
"557","Sobrevive","1","female","adulto","Medium"
"558","Fallece","1","male","adulto","Small"
"559","Sobrevive","1","female","adulto","Medium"
"560","Sobrevive","3","female","adulto","Medium"
"561","Fallece","3","male","adulto","Small"
"562","Fallece","3","male","adulto","Small"
"563","Fallece","2","male","joven","Small"
"564","Fallece","3","male","adulto","Small"
"565","Fallece","3","female","joven","Small"
"566","Fallece","3","male","joven","Medium"
"567","Fallece","3","male","joven","Small"
"568","Fallece","3","female","joven","Big"
"569","Fallece","3","male","adulto","Small"
"570","Sobrevive","3","male","adulto","Small"
"571","Sobrevive","2","male","3edad","Small"
"572","Sobrevive","1","female","adulto","Medium"
"573","Sobrevive","1","male","adulto","Small"
"574","Sobrevive","3","female","joven","Small"
"575","Fallece","3","male","adolescente","Small"
"576","Fallece","3","male","joven","Small"
"577","Sobrevive","2","female","adulto","Small"
"578","Sobrevive","1","female","adulto","Medium"
"579","Fallece","3","female","joven","Medium"
"580","Sobrevive","3","male","adulto","Small"
"581","Sobrevive","2","female","joven","Medium"
"582","Sobrevive","1","female","adulto","Medium"
"583","Fallece","2","male","adulto","Small"
"584","Fallece","1","male","adulto","Small"
"585","Fallece","3","male","adulto","Small"
"586","Sobrevive","1","female","joven","Medium"
"587","Fallece","2","male","adulto","Small"
"588","Sobrevive","1","male","3edad","Medium"
"589","Fallece","3","male","joven","Small"
"590","Fallece","3","male","adulto","Small"
"591","Fallece","3","male","adulto","Small"
"592","Sobrevive","1","female","adulto","Medium"
"593","Fallece","3","male","adulto","Small"
"594","Fallece","3","female","joven","Medium"
"595","Fallece","2","male","adulto","Medium"
"596","Fallece","3","male","adulto","Medium"
"597","Sobrevive","2","female","joven","Small"
"598","Fallece","3","male","adulto","Small"
"599","Fallece","3","male","adulto","Small"
"600","Sobrevive","1","male","adulto","Medium"
"601","Sobrevive","2","female","joven","Medium"
"602","Fallece","3","male","adulto","Small"
"603","Fallece","1","male","adulto","Small"
"604","Fallece","3","male","adulto","Small"
"605","Sobrevive","1","male","adulto","Small"
"606","Fallece","3","male","adulto","Medium"
"607","Fallece","3","male","adulto","Small"
"608","Sobrevive","1","male","joven","Small"
"609","Sobrevive","2","female","joven","Medium"
"610","Sobrevive","1","female","adulto","Small"
"611","Fallece","3","female","adulto","Big"
"612","Fallece","3","male","adulto","Small"
"613","Sobrevive","3","female","joven","Medium"
"614","Fallece","3","male","adulto","Small"
"615","Fallece","3","male","adulto","Small"
"616","Sobrevive","2","female","joven","Medium"
"617","Fallece","3","male","adulto","Medium"
"618","Fallece","3","female","joven","Medium"
"619","Sobrevive","2","female","niño","Medium"
"620","Fallece","2","male","joven","Small"
"621","Fallece","3","male","joven","Medium"
"622","Sobrevive","1","male","adulto","Medium"
"623","Sobrevive","3","male","joven","Medium"
"624","Fallece","3","male","joven","Small"
"625","Fallece","3","male","joven","Small"
"626","Fallece","1","male","3edad","Small"
"627","Fallece","2","male","3edad","Small"
"628","Sobrevive","1","female","joven","Small"
"629","Fallece","3","male","joven","Small"
"630","Fallece","3","male","adulto","Small"
"631","Sobrevive","1","male","3edad","Small"
"632","Fallece","3","male","adulto","Small"
"633","Sobrevive","1","male","adulto","Small"
"634","Fallece","1","male","adulto","Small"
"635","Fallece","3","female","niño","Big"
"636","Sobrevive","2","female","joven","Small"
"637","Fallece","3","male","adulto","Small"
"638","Fallece","2","male","adulto","Medium"
"639","Fallece","3","female","adulto","Big"
"640","Fallece","3","male","adulto","Medium"
"641","Fallece","3","male","joven","Small"
"642","Sobrevive","1","female","joven","Small"
"643","Fallece","3","female","bebe","Big"
"644","Sobrevive","3","male","adulto","Small"
"645","Sobrevive","3","female","bebe","Medium"
"646","Sobrevive","1","male","adulto","Medium"
"647","Fallece","3","male","joven","Small"
"648","Sobrevive","1","male","3edad","Small"
"649","Fallece","3","male","adulto","Small"
"650","Sobrevive","3","female","joven","Small"
"651","Fallece","3","male","adulto","Small"
"652","Sobrevive","2","female","joven","Medium"
"653","Fallece","3","male","joven","Small"
"654","Sobrevive","3","female","joven","Small"
"655","Fallece","3","female","joven","Small"
"656","Fallece","2","male","joven","Medium"
"657","Fallece","3","male","adulto","Small"
"658","Fallece","3","female","adulto","Medium"
"659","Fallece","2","male","joven","Small"
"660","Fallece","1","male","3edad","Medium"
"661","Sobrevive","1","male","adulto","Medium"
"662","Fallece","3","male","adulto","Small"
"663","Fallece","1","male","adulto","Small"
"664","Fallece","3","male","adulto","Small"
"665","Sobrevive","3","male","joven","Medium"
"666","Fallece","2","male","adulto","Medium"
"667","Fallece","2","male","joven","Small"
"668","Fallece","3","male","adulto","Small"
"669","Fallece","3","male","adulto","Small"
"670","Sobrevive","1","female","joven","Medium"
"671","Sobrevive","2","female","adulto","Medium"
"672","Fallece","1","male","adulto","Medium"
"673","Fallece","2","male","3edad","Small"
"674","Sobrevive","2","male","adulto","Small"
"675","Fallece","2","male","adulto","Small"
"676","Fallece","3","male","joven","Small"
"677","Fallece","3","male","joven","Small"
"678","Sobrevive","3","female","joven","Small"
"679","Fallece","3","female","adulto","Big"
"680","Sobrevive","1","male","adulto","Medium"
"681","Fallece","3","female","joven","Small"
"682","Sobrevive","1","male","joven","Small"
"683","Fallece","3","male","joven","Small"
"684","Fallece","3","male","adolescente","Big"
"685","Fallece","2","male","3edad","Medium"
"686","Fallece","2","male","joven","Medium"
"687","Fallece","3","male","adolescente","Big"
"688","Fallece","3","male","joven","Small"
"689","Fallece","3","male","joven","Small"
"690","Sobrevive","1","female","adolescente","Medium"
"691","Sobrevive","1","male","adulto","Medium"
"692","Sobrevive","3","female","niño","Medium"
"693","Sobrevive","3","male","adulto","Small"
"694","Fallece","3","male","joven","Small"
"695","Fallece","1","male","3edad","Small"
"696","Fallece","2","male","adulto","Small"
"697","Fallece","3","male","adulto","Small"
"698","Sobrevive","3","female","joven","Small"
"699","Fallece","1","male","adulto","Medium"
"700","Fallece","3","male","adulto","Small"
"701","Sobrevive","1","female","joven","Medium"
"702","Sobrevive","1","male","adulto","Small"
"703","Fallece","3","female","joven","Medium"
"704","Fallece","3","male","joven","Small"
"705","Fallece","3","male","joven","Medium"
"706","Fallece","2","male","adulto","Small"
"707","Sobrevive","2","female","adulto","Small"
"708","Sobrevive","1","male","adulto","Small"
"709","Sobrevive","1","female","joven","Small"
"710","Sobrevive","3","male","adulto","Medium"
"711","Sobrevive","1","female","joven","Small"
"712","Fallece","1","male","adulto","Small"
"713","Sobrevive","1","male","adulto","Medium"
"714","Fallece","3","male","joven","Small"
"715","Fallece","2","male","adulto","Small"
"716","Fallece","3","male","joven","Small"
"717","Sobrevive","1","female","adulto","Small"
"718","Sobrevive","2","female","joven","Small"
"719","Fallece","3","male","adulto","Small"
"720","Fallece","3","male","adulto","Small"
"721","Sobrevive","2","female","niño","Medium"
"722","Fallece","3","male","adolescente","Medium"
"723","Fallece","2","male","adulto","Small"
"724","Fallece","2","male","adulto","Small"
"725","Sobrevive","1","male","joven","Medium"
"726","Fallece","3","male","joven","Small"
"727","Sobrevive","2","female","adulto","Medium"
"728","Sobrevive","3","female","joven","Small"
"729","Fallece","2","male","joven","Medium"
"730","Fallece","3","female","joven","Medium"
"731","Sobrevive","1","female","joven","Small"
"732","Fallece","3","male","niño","Small"
"733","Fallece","2","male","adulto","Small"
"734","Fallece","2","male","joven","Small"
"735","Fallece","2","male","joven","Small"
"736","Fallece","3","male","joven","Small"
"737","Fallece","3","female","adulto","Big"
"738","Sobrevive","1","male","adulto","Small"
"739","Fallece","3","male","adulto","Small"
"740","Fallece","3","male","adulto","Small"
"741","Sobrevive","1","male","adulto","Small"
"742","Fallece","1","male","adulto","Medium"
"743","Sobrevive","1","female","joven","Big"
"744","Fallece","3","male","joven","Medium"
"745","Sobrevive","3","male","adulto","Small"
"746","Fallece","1","male","3edad","Medium"
"747","Fallece","3","male","adolescente","Medium"
"748","Sobrevive","2","female","adulto","Small"
"749","Fallece","1","male","joven","Medium"
"750","Fallece","3","male","adulto","Small"
"751","Sobrevive","2","female","niño","Medium"
"752","Sobrevive","3","male","niño","Medium"
"753","Fallece","3","male","adulto","Small"
"754","Fallece","3","male","joven","Small"
"755","Sobrevive","2","female","adulto","Medium"
"756","Sobrevive","2","male","bebe","Medium"
"757","Fallece","3","male","joven","Small"
"758","Fallece","2","male","joven","Small"
"759","Fallece","3","male","adulto","Small"
"760","Sobrevive","1","female","adulto","Small"
"761","Fallece","3","male","adulto","Small"
"762","Fallece","3","male","adulto","Small"
"763","Sobrevive","3","male","joven","Small"
"764","Sobrevive","1","female","adulto","Medium"
"765","Fallece","3","male","adolescente","Small"
"766","Sobrevive","1","female","adulto","Medium"
"767","Fallece","1","male","adulto","Small"
"768","Fallece","3","female","adulto","Small"
"769","Fallece","3","male","adulto","Medium"
"770","Fallece","3","male","adulto","Small"
"771","Fallece","3","male","joven","Small"
"772","Fallece","3","male","adulto","Small"
"773","Fallece","2","female","3edad","Small"
"774","Fallece","3","male","adulto","Small"
"775","Sobrevive","2","female","adulto","Big"
"776","Fallece","3","male","joven","Small"
"777","Fallece","3","male","adulto","Small"
"778","Sobrevive","3","female","niño","Small"
"779","Fallece","3","male","adulto","Small"
"780","Sobrevive","1","female","adulto","Medium"
"781","Sobrevive","3","female","adolescente","Small"
"782","Sobrevive","1","female","adolescente","Medium"
"783","Fallece","1","male","joven","Small"
"784","Fallece","3","male","adulto","Medium"
"785","Fallece","3","male","joven","Small"
"786","Fallece","3","male","joven","Small"
"787","Sobrevive","3","female","joven","Small"
"788","Fallece","3","male","niño","Big"
"789","Sobrevive","3","male","bebe","Medium"
"790","Fallece","1","male","adulto","Small"
"791","Fallece","3","male","adulto","Small"
"792","Fallece","2","male","adolescente","Small"
"793","Fallece","3","female","joven","Big"
"794","Fallece","1","male","adulto","Small"
"795","Fallece","3","male","joven","Small"
"796","Fallece","2","male","adulto","Small"
"797","Sobrevive","1","female","adulto","Small"
"798","Sobrevive","3","female","adulto","Small"
"799","Fallece","3","male","adulto","Small"
"800","Fallece","3","female","adulto","Medium"
"801","Fallece","2","male","adulto","Small"
"802","Sobrevive","2","female","adulto","Medium"
"803","Sobrevive","1","male","niño","Medium"
"804","Sobrevive","3","male","bebe","Medium"
"805","Sobrevive","3","male","joven","Small"
"806","Fallece","3","male","adulto","Small"
"807","Fallece","1","male","adulto","Small"
"808","Fallece","3","female","joven","Small"
"809","Fallece","2","male","adulto","Small"
"810","Sobrevive","1","female","adulto","Medium"
"811","Fallece","3","male","joven","Small"
"812","Fallece","3","male","adulto","Small"
"813","Fallece","2","male","adulto","Small"
"814","Fallece","3","female","niño","Big"
"815","Fallece","3","male","adulto","Small"
"816","Fallece","1","male","adulto","Small"
"817","Fallece","3","female","joven","Small"
"818","Fallece","2","male","adulto","Medium"
"819","Fallece","3","male","adulto","Small"
"820","Fallece","3","male","niño","Big"
"821","Sobrevive","1","female","adulto","Medium"
"822","Sobrevive","3","male","joven","Small"
"823","Fallece","1","male","adulto","Small"
"824","Sobrevive","3","female","joven","Medium"
"825","Fallece","3","male","bebe","Big"
"826","Fallece","3","male","adulto","Small"
"827","Fallece","3","male","adulto","Small"
"828","Sobrevive","2","male","bebe","Medium"
"829","Sobrevive","3","male","adulto","Small"
"830","Sobrevive","1","female","3edad","Small"
"831","Sobrevive","3","female","adolescente","Medium"
"832","Sobrevive","2","male","bebe","Medium"
"833","Fallece","3","male","adulto","Small"
"834","Fallece","3","male","joven","Small"
"835","Fallece","3","male","joven","Small"
"836","Sobrevive","1","female","adulto","Medium"
"837","Fallece","3","male","joven","Small"
"838","Fallece","3","male","adulto","Small"
"839","Sobrevive","3","male","adulto","Small"
"840","Sobrevive","1","male","adulto","Small"
"841","Fallece","3","male","joven","Small"
"842","Fallece","2","male","adolescente","Small"
"843","Sobrevive","1","female","adulto","Small"
"844","Fallece","3","male","adulto","Small"
"845","Fallece","3","male","adolescente","Small"
"846","Fallece","3","male","adulto","Small"
"847","Fallece","3","male","adulto","Big"
"848","Fallece","3","male","adulto","Small"
"849","Fallece","2","male","joven","Medium"
"850","Sobrevive","1","female","joven","Medium"
"851","Fallece","3","male","niño","Big"
"852","Fallece","3","male","3edad","Small"
"853","Fallece","3","female","niño","Medium"
"854","Sobrevive","1","female","adolescente","Medium"
"855","Fallece","2","female","adulto","Medium"
"856","Sobrevive","3","female","joven","Medium"
"857","Sobrevive","1","female","adulto","Medium"
"858","Sobrevive","1","male","adulto","Small"
"859","Sobrevive","3","female","joven","Medium"
"860","Fallece","3","male","adulto","Small"
"861","Fallece","3","male","adulto","Medium"
"862","Fallece","2","male","joven","Medium"
"863","Sobrevive","1","female","adulto","Small"
"864","Fallece","3","female","joven","Big"
"865","Fallece","2","male","joven","Small"
"866","Sobrevive","2","female","adulto","Small"
"867","Sobrevive","2","female","joven","Medium"
"868","Fallece","1","male","adulto","Small"
"869","Fallece","3","male","adulto","Small"
"870","Sobrevive","3","male","niño","Medium"
"871","Fallece","3","male","joven","Small"
"872","Sobrevive","1","female","adulto","Medium"
"873","Fallece","1","male","adulto","Small"
"874","Fallece","3","male","adulto","Small"
"875","Sobrevive","2","female","joven","Medium"
"876","Sobrevive","3","female","adolescente","Small"
"877","Fallece","3","male","joven","Small"
